iPos,jPos,Temperature
1,1,100.0
2,1,75.0
3,1,75.0
4,1,75.0
5,1,75.0
6,1,75.0
7,1,75.0
8,1,75.0
9,1,75.0
10,1,75.0
11,1,75.0
12,1,75.0
13,1,75.0
14,1,75.0
15,1,75.0
16,1,75.0
17,1,75.0
18,1,75.0
19,1,0.0
1,2,100.0
2,2,62.419924480215826
3,2,48.94593810625878
4,2,42.99819246724929
5,2,40.11166036662268
6,2,38.662586690576525
7,2,37.92669276134719
8,2,37.549564658925604
9,2,37.35106624034468
10,2,37.236344540200115
11,2,37.15038951776534
12,2,37.051646040867865
13,2,36.89150061247436
14,2,36.588466967041214
15,2,35.97887033075907
16,2,34.6941407836995
17,2,31.77950054058784
18,2,24.216615654187493
19,2,0.0
1,3,100.0
2,3,69.57428862337805
3,3,51.87190936651986
4,3,42.46629769191497
5,3,37.59870496055705
6,3,35.10444466839998
7,3,33.830292334149426
8,3,33.17648732220302
9,3,32.83238433170468
10,3,32.63361675316494
11,3,32.48487952930155
12,3,32.314501425998436
13,3,32.03965060386379
14,3,31.524854981222678
15,3,30.51119119048728
16,3,28.474154773474606
17,3,24.328019271742917
18,3,15.896993722103481
19,3,0.0
1,4,100.0
2,4,69.63360860715947
3,4,50.17126773779038
4,4,39.403820165507895
5,4,33.762283476382486
6,4,30.865921142457474
7,4,29.387961170846424
8,4,28.630707622786467
9,4,28.232657524129284
10,4,28.002990018558727
11,4,27.831437369754518
12,4,27.635615021052573
13,4,27.321603512553704
14,4,26.739432045962708
15,4,25.614185982687946
16,4,23.43028764482371
17,4,19.265965852601983
18,4,11.740697354230855
19,4,0.0
1,5,100.0
2,5,63.61238936961731
3,5,43.62200223260744
4,5,33.482927584717665
5,5,28.395041835034498
6,5,25.836439139469825
7,5,24.54373498091738
8,5,23.884621564019607
9,5,23.539033778049482
10,5,23.339956091308945
11,5,23.19152897564634
12,5,23.02263566781501
13,5,22.753093250631732
14,5,22.256849452292517
15,5,21.307528064964735
16,5,19.490784666277314
17,5,16.078112137830495
18,5,9.935094468342742
19,5,0.0
1,6,100.0
2,6,48.44741567517454
3,6,31.579246776816746
4,6,24.74528794798285
5,6,21.61736975049555
6,6,20.10104095533921
7,6,19.346192989066306
8,6,18.963700943395022
9,6,18.763710079941045
10,6,18.648677358758718
11,6,18.563033357361707
12,6,18.465782325337265
13,6,18.31100084019347
14,6,18.026921231803897
15,6,17.48457971463194
16,6,16.441236264433055
17,6,14.412809211145797
18,6,10.2441068491462
19,6,0.0
1,7,100.0
2,7,25.0
3,7,25.0
4,7,25.0
5,7,25.0
6,7,25.0
7,7,25.0
8,7,25.0
9,7,25.0
10,7,25.0
11,7,25.0
12,7,25.0
13,7,25.0
14,7,25.0
15,7,25.0
16,7,25.0
17,7,25.0
18,7,25.0
19,7,0.0
