iPos,jPos,Temperature
1,1,44.441015353753585
2,1,100.0
3,1,100.0
4,1,100.0
5,1,100.0
6,1,100.0
7,1,100.0
8,1,100.0
9,1,100.0
10,1,100.0
11,1,100.0
12,1,100.0
13,1,100.0
14,1,100.0
15,1,100.0
16,1,100.0
17,1,100.0
18,1,100.0
19,1,44.441015353753585
1,2,80.0
2,2,90.03549017030312
3,2,94.1580340810859
4,2,95.98190311487872
5,2,96.81672128573007
6,2,97.20416889940134
7,2,97.38451382952432
8,2,97.46748744114053
9,2,97.50318644277647
10,2,97.513099241415
11,2,97.50318644277645
12,2,97.46748744114056
13,2,97.38451382952437
14,2,97.20416889940135
15,2,96.8167212857301
16,2,95.98190311487873
17,2,94.1580340810859
18,2,90.03549017030312
19,2,80.0
1,3,80.0
2,3,88.2927233768705
3,3,93.01223021258106
4,3,95.38248105414769
5,3,96.5237293518217
6,3,97.0642526250042
7,3,97.3179038118368
8,3,97.43498364677941
9,3,97.48542054584597
10,3,97.49943180436219
11,3,97.485420545846
12,3,97.43498364677947
13,3,97.31790381183686
14,3,97.06425262500426
15,3,96.52372935182176
16,3,95.3824810541477
17,3,93.01223021258107
18,3,88.29272337687048
19,3,80.0
1,4,80.0
2,4,90.03549017030312
3,4,94.1580340810859
4,4,95.9819031148787
5,4,96.81672128573007
6,4,97.20416889940134
7,4,97.38451382952434
8,4,97.46748744114056
9,4,97.50318644277648
10,4,97.51309924141503
11,4,97.50318644277648
12,4,97.46748744114058
13,4,97.38451382952435
14,4,97.20416889940138
15,4,96.81672128573011
16,4,95.98190311487872
17,4,94.1580340810859
18,4,90.03549017030312
19,4,80.0
1,5,44.441015353753585
2,5,100.0
3,5,100.0
4,5,100.0
5,5,100.0
6,5,100.0
7,5,100.0
8,5,100.0
9,5,100.0
10,5,100.0
11,5,100.0
12,5,100.0
13,5,100.0
14,5,100.0
15,5,100.0
16,5,100.0
17,5,100.0
18,5,100.0
19,5,44.441015353753585
