iPos,jPos,Temperature
1,1,80.0
2,1,80.0
3,1,80.0
4,1,80.0
5,1,80.0
6,1,80.0
7,1,80.0
8,1,80.0
9,1,80.0
10,1,80.0
11,1,80.0
12,1,80.0
13,1,80.0
14,1,80.0
15,1,80.0
16,1,80.0
17,1,80.0
18,1,80.0
19,1,80.0
20,1,80.0
21,1,80.0
22,1,80.0
23,1,80.0
24,1,80.0
25,1,80.0
26,1,80.0
27,1,80.0
28,1,80.0
29,1,80.0
30,1,80.0
31,1,80.0
32,1,80.0
33,1,80.0
34,1,80.0
35,1,80.0
36,1,80.0
37,1,80.0
38,1,80.0
39,1,80.0
40,1,80.0
41,1,80.0
42,1,80.0
43,1,80.0
44,1,80.0
45,1,80.0
46,1,80.0
47,1,80.0
48,1,80.0
49,1,80.0
50,1,80.0
51,1,80.0
52,1,80.0
53,1,80.0
54,1,80.0
55,1,80.0
56,1,80.0
57,1,80.0
58,1,80.0
59,1,80.0
1,2,100.0
2,2,80.92032878863616
3,2,73.86505146817706
4,2,70.63232551478684
5,2,68.8560735587612
6,2,67.74095442330601
7,2,66.97454672266268
8,2,66.41528520512274
9,2,65.99070815555874
10,2,65.65978907039538
11,2,65.39728908888793
12,2,65.18658641555254
13,2,65.01611167345865
14,2,64.87745079574228
15,2,64.76427370997492
16,2,64.67169583097473
17,2,64.59587775262622
18,2,64.5337620139894
19,2,64.48289222034603
20,2,64.44128382578585
21,2,64.40732876323229
22,2,64.37972322279188
23,2,64.35741192161362
24,2,64.33954457120424
25,2,64.32544167257242
26,2,64.3145676590332
27,2,64.3065099848026
28,2,64.30096315115581
29,2,64.2977169438416
30,2,64.29664836874731
31,2,64.2977169438416
32,2,64.30096315115581
33,2,64.3065099848026
34,2,64.31456765903322
35,2,64.32544167257242
36,2,64.33954457120423
37,2,64.35741192161363
38,2,64.37972322279191
39,2,64.40732876323231
40,2,64.44128382578587
41,2,64.48289222034607
42,2,64.53376201398945
43,2,64.59587775262627
44,2,64.67169583097477
45,2,64.76427370997497
46,2,64.87745079574232
47,2,65.01611167345871
48,2,65.18658641555264
49,2,65.39728908888799
50,2,65.6597890703954
51,2,65.99070815555875
52,2,66.41528520512274
53,2,66.9745467226627
54,2,67.74095442330601
55,2,68.8560735587612
56,2,70.63232551478686
57,2,73.86505146817707
58,2,80.92032878863616
59,2,100.0
1,3,100.0
2,3,87.94486750903198
3,3,80.42041039821706
4,3,75.85492380720025
5,3,72.94108060398969
6,3,70.96171739086249
7,3,69.54257919709556
8,3,68.48224307814334
9,3,67.66603335134164
10,3,67.02446204153189
11,3,66.51280941673579
12,3,66.1006943051074
13,3,65.76650133506018
14,3,65.49426264166685
15,3,65.27183080274324
16,3,65.08975809627188
17,3,64.94057708741357
18,3,64.81831810048452
19,3,64.71817210791512
20,3,64.63624660018301
21,3,64.5693834372792
22,3,64.51501975084152
23,3,64.47107993200946
24,3,64.43589087037054
25,3,64.40811513432931
26,3,64.3866983824199
27,3,64.37082835010459
28,3,64.35990348531554
29,3,64.3535098352294
30,3,64.35140519220069
31,3,64.3535098352294
32,3,64.35990348531557
33,3,64.37082835010463
34,3,64.38669838241991
35,3,64.40811513432932
36,3,64.43589087037057
37,3,64.4710799320095
38,3,64.51501975084157
39,3,64.56938343727924
40,3,64.63624660018309
